Neighbourhood Name,    Average after-tax income in 2020 among recipients ($),"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",Total - Persons in private households - 25% sample data,YEAR,Degree Rate
Woburn North,35360,22570,26580,2020,0.8491346877351392
West Rouge,45760,17660,20670,2020,0.8543783260764393
Morningside Heights,36640,20860,24940,2020,0.8364073777064955
Malvern West,33200,14485,17320,2020,0.8363163972286374
Malvern East,35240,22180,26095,2020,0.8499712588618509
L'Amoreaux West,37000,18820,21545,2020,0.8735205384079833
East L'Amoreaux,34600,18585,21495,2020,0.8646196789951152
Parkwoods-O'Connor Hills,47440,11675,13965,2020,0.8360186179735052
Fenside-Parkwoods,39680,17490,20510,2020,0.8527547537786445
Yonge-Doris,42880,17990,20160,2020,0.8923611111111112
East Willowdale,48600,13280,15485,2020,0.8576041330319664
Avondale,50400,12245,13790,2020,0.887962291515591
Oakdale-Beverley Heights,35760,17625,21420,2020,0.822829131652661
Downsview,39720,15410,17970,2020,0.857540345019477
Bendale-Glen Andrew,36880,16075,18685,2020,0.8603157613058603
Bendale South,36280,9110,10725,2020,0.8494172494172494
Islington,55300,20035,23460,2020,0.8540068201193521
Etobicoke City Centre,47640,20810,23600,2020,0.8817796610169492
Mimico-Queensway,50400,14650,17045,2020,0.8594895863889703
Humber Bay Shores,57000,20900,22605,2020,0.9245742092457421
West Queen West,68100,12045,13170,2020,0.9145785876993167
Fort York-Liberty Village,60100,18710,19915,2020,0.9394928445895054
Wellington Place,67500,24440,25570,2020,0.9558075870160344
Harbourfront-CityPlace,57700,26060,28135,2020,0.9262484449973343
St Lawrence-East Bayfront-The Islands,61650,29010,31285,2020,0.9272814447818444
Church-Wellesley,46360,21420,22320,2020,0.9596774193548387
Downtown Yonge East,52900,16640,17700,2020,0.9401129943502825
Bay-Cloverhill,50960,15930,16670,2020,0.9556088782243551
Yonge-Bay Corridor,53050,11675,12645,2020,0.9232898378805852
Junction-Wallace Emerson,45480,20105,23180,2020,0.8673425366695428
Dovercourt Village,46200,11015,12380,2020,0.8897415185783522
North Toronto,48200,14570,15885,2020,0.9172175007869059
South Eglinton-Davisville,54700,20545,22735,2020,0.90367275126457
